controller,scenario,seed,waterLevelMAE,bandViolationRate,safetyViolationCount,totalIrrigationMm,switchCount,meanDecisionTimeMs,mpcFallbackCount
rule,infiltration_shift,12,3.86630357454139,0,0,24,2,0.000519965277777778,0
mpc,infiltration_shift,12,0.69560320458453,0,0,34.1123935479664,1,0.355095920138889,0
rule,infiltration_shift,13,4.51646530394669,0,0,28,2,0.000519965277777778,0
mpc,infiltration_shift,13,0.50368265719136,0,0,39.2920588230965,1,0.353624131944444,0
rule,infiltration_shift,14,4.00108717359811,0,0,28,2,0.000522135416666667,0
mpc,infiltration_shift,14,0.536808754070617,0,0,38.636124158427,1,0.357098958333333,0
rule,infiltration_shift,15,5.86858837489158,0,0,32,3,0.000525173611111111,0
mpc,infiltration_shift,15,0.469572219115131,0,0,43.6004913126502,1,0.353930989583333,0
rule,infiltration_shift,16,5.87674305465234,0,0,24,2,0.000565104166666667,0
mpc,infiltration_shift,16,0.442518493599715,0,0,36.0749990490392,1,0.375502604166667,0
rule,infiltration_shift,17,5.53353038603727,0,0,28,2,0.00059375,0
mpc,infiltration_shift,17,0.454070945520647,0,0,37.9407053895646,1,0.361022135416667,0
rule,infiltration_shift,18,4.57560765131375,0,0,28,2,0.000528645833333333,0
mpc,infiltration_shift,18,0.490589854789359,0,0,39.7851333019833,1,0.359108506944444,0
rule,infiltration_shift,19,4.83632644742543,0,0,28,2,0.000556857638888889,0
mpc,infiltration_shift,19,0.43904297624103,0,0,33.8459511408757,1,0.360452690972222,0
rule,infiltration_shift,20,3.87172384378187,0,0,28,2,0.000529513888888889,0
mpc,infiltration_shift,20,0.534101829218201,0,0,37.5308183211125,1,0.359138454861111,0
rule,infiltration_shift,21,5.28650658132474,0,0,28,2,0.000552951388888889,0
mpc,infiltration_shift,21,0.607509158737241,0,0,35.9072107440814,1,0.361594618055556,0
rule,infiltration_shift,22,4.6226395673409,0,0,28,2,0.00053515625,0
mpc,infiltration_shift,22,0.571859521856467,0,0,36.8096928305798,1,0.367654079861111,0
rule,infiltration_shift,23,4.19473503073501,0,0,28,2,0.000519097222222222,0
mpc,infiltration_shift,23,0.466138805280391,0,0,38.6265520234197,1,0.376674479166667,0
rule,infiltration_shift,24,3.29434515549161,0,0,28,2,0.0005234375,0
mpc,infiltration_shift,24,0.933434196227008,0,0,31.1320188771941,1,0.370940972222222,0
rule,infiltration_shift,25,4.49840296930394,0,0,28,2,0.000549913194444444,0
mpc,infiltration_shift,25,0.484049982412704,0,0,36.2220563864783,1,0.363719184027778,0
rule,infiltration_shift,26,3.84187038467627,0,0,28,2,0.000553385416666667,0
mpc,infiltration_shift,26,0.605230322967211,0,0,35.0081641082702,1,0.360801649305556,0
rule,infiltration_shift,27,3.37870347425653,0,0,28,2,0.000532118055555556,0
mpc,infiltration_shift,27,0.719669074300003,0,0,33.0722051825453,1,0.349798611111111,0
rule,infiltration_shift,28,4.0759435240189,0,0,24,2,0.000533854166666667,0
mpc,infiltration_shift,28,0.547417557309053,0,0,34.2029322525797,1,0.364153211805556,0
rule,infiltration_shift,29,3.11838202493942,0,0,28,2,0.000537760416666667,0
mpc,infiltration_shift,29,0.640873036709602,0,0,35.7403707235231,1,0.348381944444444,0
rule,infiltration_shift,30,4.07265936896363,0,0,28,2,0.000518663194444444,0
mpc,infiltration_shift,30,0.534549445034403,0,0,39.1862306183166,1,0.370220486111111,0
rule,sensor_noise,1,4.59668096281259,0,0,36,4,0.000860677083333333,0
mpc,sensor_noise,1,5.58358174008338,0,0,48.0403255185473,1,0.355819444444445,0
rule,sensor_noise,2,4.12134539017011,0,0,36,4,0.00052734375,0
mpc,sensor_noise,2,5.99514090988921,0,0,47.1459806580583,1,0.366056857638889,0
rule,sensor_noise,3,4.56335070549121,0,0,48,6,0.00055078125,0
mpc,sensor_noise,3,7.02699606300719,0,0,46.4141407170201,1,0.360403211805556,0
rule,sensor_noise,4,3.46953562123798,0,0,28,4,0.000540364583333333,0
mpc,sensor_noise,4,5.86393733669228,0,0,41.6643595548032,1,0.377525607638889,0
rule,sensor_noise,5,4.31722963866517,0,0,32,4,0.000556857638888889,0
mpc,sensor_noise,5,3.75441123103318,0,0,43.0047613339875,1,0.353998263888889,0
rule,sensor_noise,6,4.40293551161697,0,0,32,4,0.000576388888888889,0
mpc,sensor_noise,6,6.22917453685686,0,0,42.5222562321141,1,0.365560329861111,0
rule,sensor_noise,7,4.04840299081331,0,0,28,4,0.000530381944444444,0
mpc,sensor_noise,7,6.49877513591517,0,0,40.7998946381109,1,0.356266059027778,0
rule,sensor_noise,8,3.58797488766077,0,0,32,4,0.000561197916666667,0
mpc,sensor_noise,8,7.11797821071979,0,0,43.8867345856532,1,0.361142361111111,0
rule,sensor_noise,9,6.55890308588515,0,0,40,4,0.000538194444444444,0
mpc,sensor_noise,9,3.73645760663172,0,0,41.8172666906605,1,0.35337890625,0
rule,sensor_noise,10,3.71148767740058,0,0,44,6,0.000516493055555556,0
mpc,sensor_noise,10,6.81055981999037,0,0,43.3109561526741,1,0.355075086805556,0
rule,sensor_noise,11,4.41319262816183,0,0,32,4,0.000521267361111111,0
mpc,sensor_noise,11,6.64186286363194,0,0,41.9862448425317,1,0.351850694444444,0
rule,sensor_noise,12,4.83786430969427,0,0,36,4,0.000532118055555556,0
mpc,sensor_noise,12,6.31090806652426,0,0,42.5135566091346,1,0.368548611111111,0
rule,sensor_noise,13,4.94533885935055,0,0,40,4,0.0005703125,0
mpc,sensor_noise,13,5.24497562769213,0,0,48.8408227908989,1,0.362557291666667,0
rule,sensor_noise,14,4.69331927989272,0,0,40,6,0.000548177083333333,0
mpc,sensor_noise,14,6.08055791937085,0,0,43.8665164991023,1,0.376515625,0
rule,sensor_noise,15,6.09970749640788,0,0,40,4,0.0005546875,0
mpc,sensor_noise,15,5.31823786127494,0,0,47.9292439260984,1,0.34991796875,0
rule,sensor_noise,16,4.31274428304572,0,0,36,4,0.000530815972222222,0
mpc,sensor_noise,16,6.32948728737863,0,0,40.321154173654,1,0.348122829861111,0
rule,sensor_noise,17,3.97795628678425,0,0,36,4,0.000534288194444444,0
mpc,sensor_noise,17,3.78803971517845,0,0,42.5124871915732,1,0.3603359375,0
rule,sensor_noise,18,4.453259594304,0,0,36,4,0.000567708333333333,0
mpc,sensor_noise,18,5.62748197599288,0,0,45.6932455615395,1,0.367161892361111,0
rule,sensor_noise,19,3.76561828808105,0,0,28,4,0.000550347222222222,0
mpc,sensor_noise,19,5.51887340323591,0,0,42.4578505206162,1,0.356169270833333,0
