scenario,seed,delta_waterLevelMAE,delta_bandViolationRate,delta_safetyViolationCount,delta_totalIrrigationMm,delta_switchCount,delta_meanDecisionTimeMs,delta_mpcFallbackCount
intermittent_rain,4,-0.395836649786785,0,0,10.5100727098741,1,0.369572048611111,0
intermittent_rain,5,1.69023728346929e-08,0,0,2.88049794691052e-08,1,0.378525607638889,0
intermittent_rain,6,-4.66503786237434,0,0,-2.40467715570547,-1,0.363663194444444,0
intermittent_rain,7,0.3919652042694,0,0,1.95958908399175,1,0.367502604166667,0
intermittent_rain,8,-1.04633212518117,0,0,-1.83472515216063,-1,0.380569878472222,0
intermittent_rain,9,2.41614052252895,0.229166666666667,0,6.41479756780238,1,0.376822916666667,0
intermittent_rain,10,0.9883926903459,0.0625,0,3.0567853749788,1,0.371549045138889,0
intermittent_rain,11,1.19219620842159e-08,0,0,2.86193380657895e-08,1,0.383237413194444,0
intermittent_rain,12,1.9507293558263e-09,0,0,5.19909991497794e-09,1,0.360699652777778,0
intermittent_rain,13,5.02997711645575,0.354166666666667,0,7.33879947557591,1,0.372913194444444,0
intermittent_rain,14,1.67348837010195e-08,0,0,4.20428560063945e-08,1,0.393651041666667,0
intermittent_rain,15,1.82916011226553e-08,0,0,3.13331348189546e-08,1,0.386739149305556,0
intermittent_rain,16,1.12693001597108e-08,0,0,2.04981590192795e-08,1,0.369775173611111,0
intermittent_rain,17,2.1676708428231e-08,0,0,4.16652138797671e-08,1,0.364926649305556,0
intermittent_rain,18,2.57737133086705,0.0208333333333334,0,3.65810629790234,1,0.369421006944444,0
intermittent_rain,19,-0.424816041642842,0,0,4.62852516363066,1,0.349320746527778,0
intermittent_rain,20,2.2749343273339,0.0729166666666666,0,2.73606111992705,1,0.363127604166667,0
intermittent_rain,21,0.025750659318363,0,0,1.22105696383985,1,0.352461805555555,0
intermittent_rain,22,1.61304001267126e-08,0,0,2.24142864360892e-08,1,0.395703559027778,0
intermittent_rain,23,0.484018671403367,0,0,0.559084447145253,1,0.360298177083333,0
intermittent_rain,24,-4.99377386579853,0,0,13.740075507527,1,0.373179253472222,0
intermittent_rain,25,-3.39400529890209,0,0,-2.31089147466132,-1,0.353918836805556,0
intermittent_rain,26,1.3339820755395,0,0,5.92643622547714,1,0.354179253472222,0
intermittent_rain,27,2.71406805777525,0,0,8.5138716797981,1,0.354408420138889,0
intermittent_rain,28,0.851262434344292,0,0,4.82098173132397,1,0.34765625,0
intermittent_rain,29,-5.30631232160524,0,0,-5.77981453385985,-1,0.347493489583333,0
intermittent_rain,30,2.1979075103055,0.0208333333333334,0,5.67097095080113,1,0.348736545138889,0
heavy_rain,1,5.66727109685417e-09,0,0,1.45057710193723e-08,3,0.418298177083333,12
heavy_rain,2,7.33268024077915e-09,0,0,1.8400558360375e-08,1,0.387831597222222,0
heavy_rain,3,0.0236714507009914,0,0,0.115104134162831,1,0.358460069444444,0
