Episode,EpisodeReward,EpisodeSteps,AverageReward,GlobalStepCount
414,-247.081794120136,96,-45.8916139664209,39744
415,-278.44715459029,96,-72.2331092879093,39840
416,-2.72823713550076,96,-72.3259324533356,39936
417,-14.3975779183244,96,-73.6432212438913,40032
418,-11.0476241789987,96,-70.6260621203512,40128
419,-1.25777337002347,96,-57.4315005425433,40224
420,-260.104254049726,96,-83.0345564476583,40320
421,-382.275863988775,96,-119.950634992174,40416
422,-1.72302913521797,96,-120.030478184871,40512
423,-8.40076590570925,96,-120.74640743927,40608
424,-1.1171050494534,96,-96.1499385322018,40704
425,-1.35656912441501,96,-68.4408799856143,40800
426,-217.803155984609,96,-89.9483718705251,40896
427,-309.055796879352,96,-119.414193766628,40992
428,-3.07627516091555,96,-118.61705886482,41088
429,-8.97422184881217,96,-119.388703712698,41184
430,-1.05594855263319,96,-93.4838731629892,41280
431,-1.2421361021629,96,-55.380500374328,41376
432,-218.93603885885,96,-77.1018013466912,41472
433,-284.739924508406,96,-104.735717206961,41568
434,-2.24764817472621,96,-104.848771519488,41664
435,-13.556257841657,96,-106.068740391212,41760
436,-1.89437178064641,96,-84.4778619708162,41856
437,-1.24275235754384,96,-53.6965575186353,41952
438,-84.9246717175444,96,-61.8813971742982,42048
439,-129.198708380283,96,-73.9038458274452,42144
440,-24.5987005279167,96,-76.2581210249736,42240
441,-11.2304216805173,96,-77.256949582809,42336
442,-0.783471843822365,96,-55.4416928813063,42432
443,-1.19650394601293,96,-27.087350825067,42528
444,-62.3900350042106,96,-33.1015895080154,42624
445,-104.03913264517,96,-42.1498769883667,42720
446,-3.65431954606612,96,-42.3258717649087,42816
447,-7.56605953200064,96,-42.9582024823544,42912
448,-7.74402380607225,96,-35.2401376912071,43008
449,-6.28800420622593,96,-22.9490672738015,43104
450,-112.546469710054,96,-31.7438441920152,43200
451,-189.397145015869,96,-49.5605165255504,43296
452,-2.68228566231228,96,-49.7503979073994,43392
453,-17.7457523099976,96,-51.4053227437979,43488
454,-0.786140905438127,96,-45.2449333339206,43584
455,-1.2614650784315,96,-34.9671665772468,43680
456,-289.703557658155,96,-63.5720903884556,43776
457,-241.44428617155,96,-86.9599130524106,43872
458,-1.29986464734298,96,-86.3154971365376,43968
459,-10.9634801255244,96,-86.7830447284675,44064
460,-1.86303564756856,96,-75.714701322219,44160
461,-2.34101432237172,96,-57.0090882528692,44256
462,-82.2972779333581,96,-64.9705874799738,44352
463,-332.706486125993,96,-96.4666608615733,44448
464,-1.27665463585569,96,-96.5157122346151,44544
465,-13.4774788701028,96,-97.7373136137822,44640
466,-9.98629670189577,96,-69.7655875181563,44736
467,-1.28699207566901,96,-45.7498581085682,44832
468,-282.738556583648,96,-73.8937273021987,44928
469,-106.694633215611,96,-83.4668426112074,45024
470,-3.06338025687764,96,-83.5868770721383,45120
471,-10.3868663700283,96,-84.391462276904,45216
472,-13.1040828107285,96,-77.472142764641,45312
473,-2.30378952807732,96,-44.4318731048494,45408
474,-264.724018384937,96,-70.7766094797576,45504
475,-269.497167699982,96,-96.3785783627455,45600
476,-3.63022429958485,96,-95.7429711225144,45696
477,-11.938416942885,96,-96.808113609236,45792
478,-2.97162253023424,96,-68.8314202038946,45888
479,-2.29973699680742,96,-58.3919305820143,45984
480,-141.528228876213,96,-72.2384154439478,46080
481,-335.545710074102,96,-104.754299814355,46176
482,-2.26663287811934,96,-103.670554821094,46272
483,-18.3553477020179,96,-105.275710638488,46368
484,-2.81476615456643,96,-79.0847854154513,46464
485,-1.27592773529772,96,-52.2626614189829,46560
486,-245.916358028604,96,-76.4912747918847,46656
487,-302.544069478649,96,-105.551840045461,46752
488,-2.47051929512023,96,-105.50172972195,46848
489,-16.3779065542393,96,-106.909546677693,46944
490,-2.88499551043267,96,-93.0452233411148,47040
491,-2.31905695078145,96,-59.7225580287828,47136
492,-119.268161731013,96,-71.4227109140721,47232
493,-203.828260673608,96,-89.9700022112311,47328
494,-1.94573100304672,96,-89.8830986960791,47424
495,-9.69581106755344,96,-90.7250870293047,47520
496,-1.9045827042331,96,-66.3239094968676,47616
497,-1.26021063814631,96,-36.1955236128174,47712
498,-77.7166882195044,96,-43.7201405052558,47808
499,-66.2483862744399,96,-48.7071884772759,47904
500,-2.14014989855061,96,-48.6327039160876,48000
501,-12.6826468571438,96,-49.6690629067239,48096
502,-3.04043773545835,96,-38.0462905071684,48192
503,-3.23106333131736,96,-17.9865707729394,48288
504,-262.436741453289,96,-44.0356718179636,48384
505,-304.429313063009,96,-73.5090220175091,48480
506,-9.71646818464906,96,-74.2902105655507,48576
507,-9.67681688213376,96,-75.1318711899495,48672
508,-5.80101878774005,96,-67.9403042467731,48768
509,-1.2016569057985,96,-61.4356313099089,48864
510,-196.135596384372,96,-80.8351759584911,48960
511,-234.442773858267,96,-103.011188658603,49056
512,-1.76291590392369,96,-102.88343647545,49152
513,-10.7797231115765,96,-103.638302453476,49248
514,-3.27308156493523,96,-77.7219364646405,49344
515,-3.31995224270061,96,-47.6110003826097,49440
516,-79.5924638357863,96,-54.5985999477234,49536
517,-365.525787627901,96,-90.1834970223002,49632
518,-2.88707237582808,96,-89.892102381109,49728
519,-15.8724799769903,96,-91.3591846882282,49824
520,-7.9711386925771,96,-72.5427389190486,49920
521,-1.23344180142904,96,-49.2218057133648,50016
522,-267.109911158974,96,-75.7565052388698,50112
523,-423.382412112956,96,-117.016774139008,50208
524,-1.1084572787852,96,-116.800311710393,50304
525,-9.60409226898757,96,-117.428725713021,50400
526,-1.1238212101306,96,-109.581861450456,50496
527,-2.20978369121791,96,-73.2502610567876,50592
528,-236.832254675854,96,-96.6447792867901,50688
529,-273.234139395812,96,-122.380945228672,50784
530,-2.61812401078125,96,-121.845643760493,50880
531,-9.22579708594019,96,-122.644879288944,50976
532,-4.75773390356746,96,-96.4096615634031,51072
533,-4.29480906638807,96,-54.5009012587463,51168
534,-253.188763570262,96,-79.7089318878941,51264
535,-285.165468247619,96,-107.265069485757,51360
536,-3.8417237315959,96,-107.536859737904,51456
537,-27.1916337013373,96,-110.035044738916,51552
538,-6.01295501247081,96,-86.9531147725774,51648
539,-1.30547480662293,96,-59.7602483136586,51744
540,-157.405945252431,96,-75.2390304378235,51840
541,-414.727076898842,96,-115.789158419114,51936
542,-1.27907073555003,96,-115.441292102312,52032
543,-12.7207191275735,96,-116.283883108431,52128
544,-1.98745841720247,96,-91.1637525931245,52224
545,-1.32171595911053,96,-62.7793773642737,52320
546,-17.6085918578795,96,-64.156064176902,52416
547,-280.299244914344,96,-89.4668252982027,52512
548,-5.1492474374329,96,-89.3804545406989,52608
549,-17.0890763359639,96,-90.958814693633,52704
550,-1.604869831391,96,-75.378707151529,52800
551,-3.25865717686506,96,-34.2318651793313,52896
552,-116.061235255703,96,-45.7100816313466,52992
553,-171.120110464843,96,-61.5500207650736,53088
554,-0.993099097053744,96,-61.4505848330587,53184
555,-7.01075210154028,96,-62.0194884473017,53280
556,-1.84501391666444,96,-60.4431306531802,53376
557,-1.29217882076457,96,-32.5424240438223,53472
558,-332.177796866733,96,-65.2452789867523,53568
559,-406.594922926441,96,-104.1958636458,53664
560,-3.31834700007169,96,-104.367211362668,53760
561,-12.4588066576636,96,-105.287226310748,53856
562,-4.03344159498011,96,-94.0844469446756,53952
563,-3.25891653275668,96,-77.298327551467,54048
564,-226.236239886221,96,-99.8226416303837,54144
565,-271.027590752747,96,-126.224325495504,54240
566,-2.4005111955257,96,-126.27987522339,54336
567,-11.9986014614986,96,-127.350517487464,54432
568,-4.91729216079706,96,-94.6244670168703,54528
569,-5.31331817494838,96,-54.496306541721,54624
570,-192.525723084568,96,-73.4170441501706,54720
571,-232.949412153966,96,-95.4661046998008,54816
572,-1.35917050222332,96,-95.1986775905251,54912
